Month,alpha,alpha_site,R2_train,RMSE_train,Site
4,1.9099335937500017,1.2200712890624996,0.9598344400985156,12.655878803035646,US-Bar
5,1.3062041015625003,1.2200712890624996,0.9683905256230718,7.9150555201952715,US-Bar
6,1.216564453125,1.2200712890624996,0.980123439060995,9.690179317407758,US-Bar
7,1.1825419921875002,1.2200712890624996,0.9859222045303606,10.095568713742576,US-Bar
8,1.1914013671875,1.2200712890624996,0.9815548765477025,11.207810839234156,US-Bar
9,1.2434501953125001,1.2200712890624996,0.9783933258708776,9.821956656274363,US-Bar
10,1.4953886718750002,1.2200712890624996,0.9788557165166859,6.157319936177752,US-Bar
11,1.658118164062501,1.2200712890624996,0.9788104642868906,3.4687133106210903,US-Bar
12,1.9796396484375016,1.2200712890624996,0.9560791330181788,2.891820369793287,US-Bar
1,1.5393164062500002,1.3579453125000005,0.9748929030198829,4.755385891970383,US-Blo
2,1.5235048828125004,1.3579453125000005,0.9770083183206056,5.151190473473556,US-Blo
3,1.4396484375000003,1.3579453125000005,0.988078560141189,6.412263280891682,US-Blo
4,1.3900605468750002,1.3579453125000005,0.9856590483913653,7.786418779009841,US-Blo
5,1.3302597656250004,1.3579453125000005,0.9836903811331908,7.509736215774466,US-Blo
6,1.3052812500000002,1.3579453125000005,0.9884894876078874,6.775709517170551,US-Blo
7,1.1917705078124996,1.3579453125000005,0.9853336332120368,11.576660037509003,US-Blo
8,1.1730058593749997,1.3579453125000005,0.9874875466420895,13.281364380647862,US-Blo
9,1.247203125,1.3579453125000005,0.9902030246059246,7.232162062912347,US-Blo
10,1.5261503906250005,1.3579453125000005,0.9834307773696003,3.872338271815874,US-Blo
11,1.4258056640625,1.3579453125000005,0.9870182916245216,6.181089173702849,US-Blo
12,1.5310107421875006,1.3579453125000005,0.9818709009854921,5.815260020088844,US-Blo
1,2.295254882812503,1.4730556640625,0.8771088006398129,17.67967347832837,US-GLE
2,2.4037207031250034,1.4730556640625,0.9369184789746705,14.794738259393645,US-GLE
3,2.4470332031250033,1.4730556640625,0.9286468386170178,10.853710995362114,US-GLE
4,2.086567382812503,1.4730556640625,0.9146592898375645,10.119262453210924,US-GLE
5,1.6524580078125006,1.4730556640625,0.9698101154231248,9.917300648476337,US-GLE
6,1.4566904296875003,1.4730556640625,0.9403027605333191,14.661818229145021,US-GLE
7,1.3091572265625002,1.4730556640625,0.9769599405458723,8.96455220750907,US-GLE
8,1.3240458984375003,1.4730556640625,0.9765933161021177,8.989441969131763,US-GLE
9,1.5367939453125006,1.4730556640625,0.9564179635820357,13.282542438220663,US-GLE
10,1.8794794921875018,1.4730556640625,0.9504762618720365,11.15756728014338,US-GLE
11,2.282581054687503,1.4730556640625,0.9257677061762604,14.031093296719558,US-GLE
12,2.5246142578125035,1.4730556640625,0.9187971935696885,11.815678308537652,US-GLE
1,2.163348632812503,1.2165029296875,0.8910296635849613,6.113893951318553,US-Ha1
2,2.3074980468750033,1.2165029296875,0.9252937807387235,3.8069540234310213,US-Ha1
3,1.8848935546875012,1.2165029296875,0.9439455194311952,5.0094514882222905,US-Ha1
4,1.6343085937500006,1.2165029296875,0.9312265275002805,6.747250650644916,US-Ha1
5,1.3677890625000004,1.2165029296875,0.9570403404289625,8.977064704560263,US-Ha1
6,1.2231474609374997,1.2165029296875,0.9895332342628842,10.138643170606025,US-Ha1
7,1.1968769531249999,1.2165029296875,0.9859107561763003,13.348450022561225,US-Ha1
8,1.209427734375,1.2165029296875,0.9887077929558941,11.529739284290864,US-Ha1
9,1.2600615234374999,1.2165029296875,0.9804530578137982,12.50656248891185,US-Ha1
10,1.4332500000000001,1.2165029296875,0.9674819100197344,8.348693749840441,US-Ha1
11,1.7820878906250013,1.2165029296875,0.9639140772038963,5.3130935558576065,US-Ha1
12,2.045715820312502,1.2165029296875,0.9285836595530381,4.984717237271846,US-Ha1
1,1.8217705078125013,1.2248085937499997,0.8840476322992956,3.170508390149539,US-MMS
2,1.7786425781250013,1.2248085937499997,0.8830234632736074,2.442299541649228,US-MMS
3,2.1571962890625027,1.2248085937499997,0.9939993626972254,8.597394385890814,US-MMS
4,1.4897900390625005,1.2248085937499997,0.9868396237956075,4.197173364183063,US-MMS
5,1.2692900390625002,1.2248085937499997,0.9848708752024528,8.431454708836002,US-MMS
6,1.229607421875,1.2248085937499997,0.9891694523481985,10.781390737155627,US-MMS
7,1.2084433593749997,1.2248085937499997,0.9922529451515967,10.773959040651514,US-MMS
8,1.2192099609375,1.2248085937499997,0.9933954404293984,9.007744685231314,US-MMS
9,1.258892578125,1.2248085937499997,0.9915669656949239,8.932991246683306,US-MMS
10,1.3036201171875001,1.2248085937499997,0.990820478474296,6.453816383959972,US-MMS
11,1.5446689453125004,1.2248085937499997,0.9624878059063758,4.355263371994548,US-MMS
12,1.8995361328125013,1.2248085937499997,0.9906355994490286,1.5248299043962044,US-MMS
1,2.133140625000003,1.2169951171875,0.9340940406707839,2.943114689943864,US-MOz
2,1.8887080078125011,1.2169951171875,0.9100568979026668,6.087288264652957,US-MOz
3,1.5890888671875003,1.2169951171875,0.9135000713212664,10.948794335244779,US-MOz
4,1.3348740234375,1.2169951171875,0.9495885162281567,13.189366918099617,US-MOz
5,1.2872548828125,1.2169951171875,0.9804373303919723,10.839169421440253,US-MOz
6,1.2061054687500001,1.2169951171875,0.9932405526100428,11.556194996924221,US-MOz
